product,type,logical_bytes,field_bytes,entries_per_key,keys,operation,connections,qps,p50_ms,p99_ms,p999_ms,requests,elapsed_seconds,seconds,client_cpu_cores,rx_mib_s
redis,list,65536,128,512,64,LSET,1280,830899.21,1.303,4.575,11.583,6659589,9.585310547001427,8,11.732,142.905546875
valkey,list,65536,128,512,64,LSET,1280,801850.3,1.439,4.351,11.199,6425115,9.585776472998987,8,11.143,137.90947265625
lavik,list,65536,128,512,64,LSET,2560,7083.95,274.431,1409.023,1449.983,60358,10.933612160002667,8,0.579,1.218037109375
redis,list,65536,128,512,64,LSET,2560,879566.39,2.575,6.687,25.343,7068177,9.937994012001582,8,13.152,151.2756640625
valkey,list,65536,128,512,64,LSET,2560,673747.48,3.647,6.079,25.471,5409311,9.936619856998732,8,9.945,115.87693359375
lavik,list,65536,128,512,64,LSET,5120,7424.43,606.207,2211.839,2293.759,65274,12.636776032002672,8,0.946,1.27619140625
redis,list,65536,128,512,64,LSET,5120,736198.95,6.495,22.271,71.167,5946248,10.59118050500183,8,12.316,126.617265625
valkey,list,65536,128,512,64,LSET,5120,543387.57,9.279,33.279,72.703,4380495,10.588703957997495,8,8.996,93.45583984375
lavik,list,65536,1024,64,64,LINDEX,80,515136.31,0.151,0.287,0.343,4121347,9.283963655998377,8,7.397,527.365478515625
redis,list,65536,1024,64,64,LINDEX,80,436549.75,0.175,0.351,0.447,3492756,9.283961152999836,8,6.306,446.913349609375
valkey,list,65536,1024,64,64,LINDEX,80,522442.94,0.151,0.279,0.447,4180859,9.283216875999642,8,7.354,534.845517578125
lavik,list,65536,1024,64,64,LINDEX,320,734592.03,0.423,0.951,1.599,5882743,9.334972602999187,8,9.785,752.030751953125
redis,list,65536,1024,64,64,LINDEX,320,732127.69,0.415,0.983,1.519,5860114,9.33540612300203,8,9.937,749.50796875
valkey,list,65536,1024,64,64,LINDEX,320,667329.59,0.455,0.975,1.943,5341932,9.33366902799753,8,8.6,683.17162109375
lavik,list,65536,1024,64,64,LINDEX,1280,741734.15,1.591,4.511,18.175,5943831,9.635671232001187,8,10.444,759.3423046875
